Acceleration,Ballcontrol,Finishing,GKdiving,Aggression,POS
89,93,94,7,63,ST
92,95,95,6,48,ST
94,95,89,9,56,ST
88,91,94,27,78,ST
58,48,13,91,29,GK
79,89,91,15,80,ST
57,42,13,90,38,GK
93,92,83,11,54,ST
60,89,76,10,60,ST
78,85,91,5,50,ST
75,84,60,11,84,DEF
76,87,83,15,68,ST
46,23,14,85,23,GK
88,87,85,10,80,ST
75,92,71,13,62,MID
93,87,87,15,65,ST
90,89,90,13,63,ST
68,57,33,3,92,DEF
49,28,15,89,38,GK
88,93,85,5,48,ST
43,16,11,84,34,GK
87,86,88,14,69,ST
77,92,69,6,57,DEF
95,82,88,6,43,ST
62,75,39,2,82,DEF
72,71,34,7,82,DEF
62,76,42,6,86,DEF
62,77,55,15,66,DEF
75,90,74,6,48,ST
65,34,10,88,31,ST
70,80,38,9,77,DEF
63,88,87,13,84,ST
87,89,85,10,47,ST
82,79,65,15,90,MID
69,88,58,12,89,MID
72,89,71,5,75,MID
77,87,76,9,44,MID
76,83,77,4,93,DEF
75,80,83,12,84,ST
77,88,67,12,84,DEF
72,87,78,8,56,MID
67,87,83,14,67,MID
72,90,71,1,51,MID
54,24,10,87,25,GK
55,78,64,10,72,DEF
72,94,70,6,58,MID
68,82,90,8,74,ST
77,85,82,15,65,ST
74,91,88,10,58,ST
86,83,63,5,69,MID
76,75,89,8,72,ST
84,81,55,7,82,DEF
76,82,87,6,57,ST
48,80,60,5,85,DEF
88,88,74,12,55,ST
86,85,86,12,49,ST
62,70,45,16,81,DEF
68,79,55,11,86,DEF
74,83,88,11,93,ST
80,85,76,11,88,MID
49,71,53,5,91,DEF
93,88,85,7,59,ST
71,58,44,6,91,DEF
67,72,43,12,83,DEF
77,86,87,13,65,ST
65,86,76,6,45,ST
85,90,76,15,52,ST
65,62,46,8,94,DEF
40,22,12,82,17,GK
87,86,79,9,61,MID
77,77,40,11,77,DEF
63,78,59,13,87,DEF
94,90,73,8,34,MID
84,84,87,11,70,ST
54,19,15,87,32,GK
88,87,77,5,69,MID
51,19,10,84,31,GK
46,22,9,85,28,GK
38,18,14,84,43,GK
53,59,27,10,86,DEF
93,83,73,13,75,MID
73,88,72,11,68,MID
78,79,46,13,80,DEF
86,85,74,10,73,ST
74,89,61,7,68,MID
78,85,61,4,78,MID
68,74,56,6,83,DEF
79,77,65,8,85,DEF
45,15,11,82,31,GK
75,81,59,11,81,MID
61,68,45,10,87,DEF
64,65,21,4,70,DEF
75,68,33,14,87,DEF
79,86,82,13,45,ST
85,89,76,9,58,MID
68,71,45,10,72,DEF
77,85,84,7,84,MID
94,84,83,10,73,MID
76,83,41,13,81,MID
76,87,78,11,48,MID
75,77,89,13,55,ST
78,84,82,4,54,ST
69,59,19,7,87,DEF
45,22,13,83,41,GK
72,86,71,14,71,MID
78,65,10,8,86,DEF
64,70,58,11,79,DEF
76,86,71,9,86,MID
65,85,68,7,86,MID
84,87,81,5,56,ST
44,23,8,84,35,GK
42,83,66,13,79,DEF
81,83,79,6,59,MID
91,86,77,14,44,ST
60,81,69,11,82,DEF
38,24,11,83,36,GK
59,14,14,86,20,GK
71,87,79,9,52,MID
72,65,45,7,82,DEF
79,90,76,11,57,MID
73,82,87,10,75,ST
74,67,32,13,88,DEF
62,63,56,5,84,DEF
79,86,55,5,78,DEF
94,87,78,8,56,ST
69,80,85,14,82,DEF
89,87,87,13,62,ST
93,85,77,6,54,ST
82,88,74,7,77,MID
68,56,37,9,89,DEF
54,15,15,85,26,GK
86,86,78,11,63,MID
71,85,66,6,61,MID
51,63,20,15,81,DEF
64,30,14,81,35,GK
73,80,66,13,83,DEF
93,87,79,14,63,ST
80,78,88,13,83,DEF
69,76,33,6,80,DEF
52,78,56,6,75,MID
72,75,51,15,80,DEF
69,73,52,13,78,DEF
77,85,83,8,66,MID
67,77,56,9,88,DEF
81,85,79,11,61,MID
60,21,18,86,35,GK
68,71,25,8,74,DEF
57,23,11,80,25,GK
60,71,36,11,81,DEF
78,79,50,8,84,MID
84,84,86,12,63,ST
62,64,53,12,90,DEF
62,78,64,7,83,DEF
69,87,73,14,65,MID
55,83,75,5,48,MID
78,85,70,10,68,MID
54,73,87,6,72,DEF
86,76,51,12,78,DEF
75,84,75,12,31,ST
52,82,64,7,87,DEF
72,73,48,5,81,DEF
72,72,28,11,73,DEF
90,84,76,8,54,ST
64,85,71,15,79,MID
88,87,83,6,75,ST
68,77,84,10,88,ST
74,86,79,6,74,MID
62,68,48,14,79,DEF
71,85,65,13,69,MID
53,23,12,85,39,GK
48,25,13,81,38,GK
67,84,61,6,83,DEF
88,80,86,6,66,ST
73,76,65,14,83,DEF
39,73,58,14,74,DEF
88,81,58,16,83,DEF
62,40,12,83,33,GK
75,86,66,16,74,MID
73,88,67,5,52,MID
67,74,64,6,81,DEF
70,85,50,14,83,MID
76,79,54,11,78,DEF
34,23,12,77,36,GK
68,87,75,6,64,MID
67,80,42,6,88,MID
69,78,50,10,84,DEF
50,23,14,80,32,GK
61,82,82,13,78,MID
59,23,12,86,23,GK
46,28,12,88,30,GK
93,84,78,8,58,ST
75,78,39,11,85,DEF
79,80,75,7,81,MID
66,75,80,10,86,DEF
84,84,69,14,73,MID
93,89,79,12,54,ST
64,64,19,11,70,DEF
92,82,86,9,63,ST
71,80,68,12,81,MID
92,84,81,9,59,ST
83,82,71,13,84,DEF
86,82,82,10,60,ST
72,84,71,7,66,DEF
65,64,39,9,84,DEF
85,87,62,9,71,MID
50,12,14,79,27,GK
73,84,71,9,68,MID
73,68,27,14,89,DEF
88,83,74,8,56,ST
60,66,34,14,83,DEF
70,70,42,12,86,DEF
76,82,67,15,92,DEF
86,84,76,9,79,ST
73,81,82,12,76,MID
91,82,75,10,59,ST
94,84,73,15,34,MID
70,70,52,11,90,DEF
70,68,50,7,92,DEF
95,82,72,9,67,ST
87,82,83,11,60,ST
65,67,37,11,73,DEF
48,80,49,7,92,MID
86,83,78,16,56,MID
83,82,77,15,68,MID
47,17,11,82,32,GK
74,74,31,14,89,MID
54,71,37,12,82,DEF
87,83,72,13,64,ST
82,76,54,10,76,DEF
49,80,72,14,78,DEF
45,24,13,80,30,GK
60,76,63,6,90,DEF
93,85,76,7,56,ST
74,83,84,7,74,MID
77,85,84,2,70,ST
67,82,72,6,73,MID
51,22,12,83,40,GK
65,84,81,13,57,MID
86,85,74,13,46,ST
76,85,73,14,81,MID
73,80,67,7,80,MID
44,23,16,80,18,GK
52,71,49,14,91,DEF
60,23,10,81,32,GK
49,73,47,15,81,DEF
79,84,74,16,64,MID
31,72,41,8,84,DEF
51,82,83,12,76,ST
65,80,69,16,79,MID
66,75,59,12,78,DEF
67,85,71,5,78,MID
58,41,13,80,40,GK
52,24,12,81,42,GK
67,68,57,14,71,DEF
80,76,57,10,87,DEF
87,81,81,8,57,ST
30,22,17,81,18,GK
73,82,69,14,64,MID
62,66,37,7,83,DEF
53,17,13,86,37,GK
73,80,63,8,74,MID
48,23,10,82,11,GK
73,82,74,13,74,MID
49,12,14,82,22,GK
57,67,27,8,79,DEF
59,20,14,83,28,GK
68,75,84,8,72,DEF
77,87,81,12,66,ST
75,86,71,11,80,MID
73,78,69,12,86,MID
76,75,45,4,82,DEF
40,23,13,78,34,GK
89,85,83,13,56,ST
91,78,50,16,77,DEF
86,85,74,8,51,ST
74,81,47,6,64,MID
65,64,40,9,85,DEF
72,84,69,8,68,MID
92,81,78,14,66,ST
57,81,51,6,88,MID
79,72,36,10,73,DEF
76,83,66,8,74,DEF
77,80,75,6,76,MID
72,82,66,9,74,MID
91,76,83,15,92,ST
73,71,50,16,68,DEF
74,84,57,14,78,MID
96,79,52,8,72,DEF
38,26,16,81,32,GK
79,80,82,7,85,DEF
72,80,72,8,73,DEF
74,84,74,11,44,MID
72,74,32,12,74,DEF
54,32,10,79,25,GK
76,80,64,14,64,DEF
84,83,84,6,55,ST
80,82,83,14,67,ST
77,87,69,9,73,MID
86,82,81,6,62,ST
89,86,74,15,68,ST
78,78,43,10,79,DEF
84,77,65,7,83,DEF
50,63,32,16,82,DEF
62,75,42,15,87,MID
86,82,65,13,64,MID
57,67,33,14,87,DEF
81,84,78,9,67,MID
77,83,75,15,75,MID
79,76,58,12,77,DEF
73,78,59,14,75,MID
87,84,76,11,45,ST
78,75,68,9,77,DEF
74,79,64,9,72,DEF
38,19,11,79,31,GK
65,81,64,15,77,MID
83,81,59,8,76,DEF
69,58,50,10,83,DEF
57,80,60,7,66,DEF
73,84,64,6,82,MID
74,84,63,13,58,MID
64,75,58,9,86,MID
76,81,72,16,69,MID
69,79,85,9,70,DEF
83,82,76,16,71,MID
68,79,70,13,80,DEF
53,78,82,12,83,DEF
53,61,23,14,86,DEF
49,64,45,5,83,DEF
75,88,80,9,50,ST
74,78,62,5,78,MID
60,67,55,6,80,DEF
55,15,11,80,41,GK
55,24,11,80,34,GK
66,66,25,4,77,DEF
82,85,77,8,58,MID
54,84,73,14,84,MID
54,59,35,15,80,DEF
56,28,12,80,31,GK
44,73,47,14,73,DEF
62,79,67,6,82,MID
65,70,44,12,80,DEF
69,83,69,10,83,MID
40,80,69,14,80,DEF
38,22,13,78,43,GK
46,24,11,85,22,GK
67,80,80,10,81,ST
26,64,36,12,68,DEF
31,81,54,10,93,MID
74,81,77,14,62,ST
93,79,79,11,67,ST
68,84,69,7,73,MID
52,81,73,6,70,MID
64,63,28,7,76,DEF
66,81,62,9,74,MID
44,21,13,75,27,GK
82,78,54,13,78,DEF
67,84,72,14,69,MID
54,65,33,5,70,DEF
82,84,64,12,56,MID
89,78,60,16,75,MID
87,81,50,7,65,DEF
80,84,71,7,73,MID
76,81,55,9,72,DEF
69,80,60,14,83,DEF
73,69,42,15,91,DEF
34,16,11,78,18,GK
71,78,53,15,84,MID
66,64,27,11,78,DEF
69,62,39,8,76,DEF
35,64,25,15,76,DEF
51,23,18,84,18,GK
81,80,71,14,75,DEF
78,78,62,13,85,MID
72,80,69,6,87,MID
87,85,80,8,50,ST
87,82,68,16,66,MID
66,73,49,14,83,DEF
76,81,68,7,73,MID
69,77,57,12,82,MID
53,24,15,84,40,GK
73,80,28,14,76,MID
77,82,76,15,77,MID
67,75,55,11,85,DEF
78,83,61,4,66,MID
66,71,50,6,81,DEF
58,60,40,15,88,DEF
88,80,76,9,67,ST
63,80,46,12,70,DEF
86,86,75,5,54,ST
82,78,74,12,75,DEF
73,78,77,13,74,DEF
54,69,48,14,88,DEF
75,71,37,14,81,DEF
72,74,55,12,79,MID
81,82,73,11,69,MID
89,78,82,16,67,ST
65,72,46,10,88,DEF
38,79,69,10,74,MID
78,75,55,6,76,DEF
55,72,22,13,74,DEF
42,76,46,10,77,DEF
87,81,75,16,53,ST
86,85,81,8,60,ST
32,20,14,75,45,GK
74,77,39,7,74,MID
67,60,39,13,82,DEF
65,80,52,2,78,MID
67,81,69,9,80,MID
72,86,62,3,55,MID
73,83,75,6,82,MID
67,65,41,8,79,DEF
66,68,43,12,78,DEF
47,40,14,78,33,GK
77,84,74,10,66,MID
78,73,56,13,79,DEF
73,81,69,11,59,MID
75,79,62,10,74,MID
76,84,58,7,72,MID
68,85,62,15,59,MID
79,79,50,11,73,DEF
66,84,65,6,53,MID
55,56,38,7,85,DEF
86,69,40,13,82,DEF
77,78,58,12,76,DEF
43,61,22,11,84,DEF
49,55,16,10,84,DEF
92,78,77,11,65,ST
50,22,13,77,43,GK
50,25,18,79,15,GK
53,76,85,16,83,DEF
66,82,54,12,84,MID
83,83,71,14,68,MID
46,63,51,7,81,DEF
61,74,54,7,87,MID
70,80,69,11,73,MID
44,21,17,82,32,GK
48,23,19,76,39,GK
55,20,17,80,36,GK
69,78,66,1,79,MID
68,80,63,8,69,MID
67,79,58,15,70,DEF
67,65,51,13,80,DEF
44,14,11,84,34,GK
47,62,30,32,79,DEF
73,75,33,3,83,MID
39,32,12,83,37,GK
43,79,59,13,64,MID
90,80,73,6,75,MID
40,27,16,82,25,GK
85,79,67,8,74,MID
68,62,36,12,80,DEF
53,30,14,78,37,GK
72,75,23,10,80,DEF
78,82,60,14,68,MID
78,73,60,11,75,DEF
62,61,22,12,77,DEF
90,77,75,16,44,ST
57,73,48,16,81,MID
64,65,48,14,79,DEF
85,85,82,13,41,ST
93,79,75,5,36,ST
49,23,19,78,27,GK
78,81,74,8,78,MID
59,76,39,8,75,DEF
73,77,79,13,65,MID
66,73,66,14,75,DEF
83,76,56,13,74,DEF
69,78,63,11,74,MID
92,75,57,13,73,DEF
78,74,47,12,79,DEF
93,79,59,6,69,DEF
64,65,20,9,82,DEF
75,82,70,7,58,MID
76,85,82,14,66,ST
75,82,55,9,79,DEF
67,79,77,11,66,MID
92,79,74,14,63,ST
80,78,44,10,74,DEF
90,79,80,8,47,ST
70,83,67,11,65,MID
84,83,57,8,71,DEF
55,61,34,15,78,DEF
65,80,66,7,60,MID
63,66,47,14,83,DEF
53,79,45,8,78,MID
80,75,44,15,70,DEF
80,81,75,8,76,DEF
71,77,29,7,73,DEF
47,56,34,16,81,DEF
70,76,63,16,80,MID
90,80,72,8,62,ST
48,66,26,12,78,DEF
62,68,36,14,84,MID
88,83,72,15,75,ST
74,75,54,12,74,DEF
73,64,37,14,88,DEF
64,65,42,15,78,MID
74,82,72,16,56,MID
84,76,57,11,75,DEF
72,58,25,13,85,DEF
78,77,70,10,76,DEF
86,81,76,5,48,ST
79,79,52,6,75,DEF
40,81,65,15,65,MID
63,72,25,12,88,MID
54,64,38,11,86,DEF
86,79,75,14,58,ST
42,66,50,11,87,DEF
62,63,38,11,81,DEF
51,68,50,10,85,DEF
46,23,16,81,38,GK
83,78,53,10,81,DEF
54,22,19,81,26,GK
72,76,42,9,75,MID
77,77,58,6,76,DEF
69,77,65,14,86,DEF
57,34,12,80,18,GK
41,17,27,82,25,GK
73,78,41,15,76,DEF
54,63,20,16,76,DEF
65,78,41,9,91,MID
49,19,15,80,29,GK
90,77,77,12,62,ST
73,80,65,15,68,DEF
68,55,42,11,84,DEF
46,22,10,79,32,GK
69,79,62,12,74,DEF
64,75,55,16,85,DEF
86,82,54,10,76,DEF
61,52,24,11,92,MID
53,74,83,6,88,DEF
88,80,76,10,55,ST
49,76,58,6,85,MID
69,59,25,5,70,DEF
45,31,14,80,29,GK
72,76,50,15,85,MID
61,65,44,16,73,DEF
78,77,56,10,75,DEF
59,35,14,78,33,GK
38,57,34,11,85,DEF
67,74,33,14,75,DEF
84,77,70,7,74,MID
50,84,72,8,94,MID
54,74,60,14,89,DEF
76,79,73,10,78,MID
34,32,10,83,20,GK
67,57,46,13,82,DEF
50,73,23,10,83,MID
77,80,68,15,76,MID
77,78,57,15,80,DEF
84,80,70,9,45,MID
67,79,76,10,70,MID
44,62,40,7,84,DEF
58,81,61,13,68,MID
91,78,72,14,51,ST
87,83,78,6,53,ST
46,54,53,10,87,DEF
65,70,28,12,78,DEF
50,18,10,79,34,GK
62,82,69,14,78,MID
49,60,23,11,78,DEF
42,78,51,14,83,DEF
72,69,55,9,75,DEF
76,58,46,6,80,DEF
69,78,76,10,67,MID
73,76,64,6,79,MID
32,58,45,14,75,DEF
52,49,23,7,80,DEF
51,22,13,77,24,GK
67,78,63,13,87,MID
62,75,80,11,78,DEF
44,12,9,75,35,GK
61,75,49,10,89,DEF
47,18,12,76,19,GK
44,30,11,80,30,GK
57,35,14,78,23,GK
63,80,52,7,67,MID
46,20,14,78,25,GK
34,20,10,80,22,GK
76,83,65,14,74,MID
30,76,56,7,80,DEF
54,81,68,7,87,MID
58,17,14,78,26,GK
66,73,41,12,79,DEF
69,73,42,11,86,MID
64,38,12,83,23,GK
78,79,66,14,85,MID
57,74,73,11,74,MID
69,80,65,11,51,MID
91,79,72,12,60,ST
69,69,22,15,75,DEF
86,76,75,11,58,ST
86,75,53,13,83,DEF
72,83,62,12,76,MID
94,77,72,11,42,ST
54,59,50,10,90,MID
45,16,19,76,39,GK
68,79,60,4,72,MID
